	MTUS1	CELA1	EPPIN	RP11-219B4.5	FABP7	C2orf69	TFPI	ID4	ZNF227	RPS17L	SULT1C2	GPR144	C17orf47	ACSL4	VIPAS39	GPR183
GTEX-132AR-0826-SM-5EGK6	8.71013648	0.5252775	-0.86246777	0.34204236	4.68469293	7.24867337	9.86110285	6.48663036	7.46522537	11.78258855	4.8610226		-1.6369771	10.95050454	8.86973624	8.38200329
GTEX-ZV6S-1826-SM-5NQ8D	10.71359045		-1.58421915		3.29909069	7.8666167	10.52681888	8.589157	7.35812196	11.80569863	-0.27902212	1.13077056		9.50327582	8.30933119	7.86702454
GTEX-SE5C-2126-SM-4BRUJ	9.90784152		0.44866464		5.54849564	7.92997654	9.55165629	9.21281334	7.07913807	11.33836896	1.51081898	1.02601436	-0.20374648	9.83306236	7.70889252	4.41784455
GTEX-ZF3C-2326-SM-5S2MZ	11.80721425		-1.3751246		4.50171101	8.61844466	11.76620943	11.75688564	8.35834119	11.05808515	5.95429627	1.60469318	-0.88535796	9.56035496	8.02661216	7.20257069
GTEX-S4UY-0726-SM-4AD6X	11.63944115			0.29028089	5.43226903	7.77517454	8.93670094	8.50163894	7.79127784	0.48378247	0.75853878	2.6509091	-0.14396372	10.52558181	8.59625409	5.57587079
GTEX-ZXES-0826-SM-5E43C	10.69330778	1.00987968		1.23313906	8.83920446	7.00654822	9.03820603	7.44733216	8.28011922	1.37361033	-0.48200165	4.17086381	-0.23304339	8.29828895	8.43926912	6.86551467
GTEX-ZYWO-2326-SM-5GZY4	10.11523072				4.09099184	7.44033186	10.91316233	8.75898108	7.96757252	10.28656339	3.24000715	1.5029437		10.47218399	8.81880339	7.39264126
GTEX-14AS3-1626-SM-5S2OY	8.85294269				9.81713489	7.6214226	10.49677338	9.37430075	7.80264162	11.82797855	2.31978315	4.4997463		8.78277833	7.90919478	8.64530376
GTEX-VJWN-0726-SM-3GIJ8	10.96188171		0.68067884		9.30219841	7.60845107	10.83457898	10.83378265	7.91787651	11.73826534	5.24042912		-0.31141561	9.82245828	8.34462452	8.60860563
GTEX-YJ8O-2226-SM-5IFHW	11.43640725				-1.07072214	8.16811551	10.54067224	10.41923403	7.89515675	10.77216352	1.03470797			9.38387478	8.08015168	6.47711905
GTEX-12ZZX-1126-SM-5EGKB	9.74435106	1.21100347	-0.26707786	1.38331565	6.24857423	7.24961903	8.34462452	9.65092824	8.49231555	5.35294521	3.66529389	5.08104439	-0.23719242	7.80064229	8.28272683	8.36032027
GTEX-YB5K-1626-SM-5IFIN	9.08064033				6.58270525	8.21163614	8.47294718	7.41109017	7.65884179	9.25182453	3.96063399	3.12656789	-1.20107446	10.09391615	8.45674513	4.38778338
GTEX-13NZ8-0126-SM-5IJCT	11.77088979	0.00423129	1.51081898	1.80404326	7.60591416	7.17182348	11.25322032	10.02837673	8.39752807	7.38738601	2.00732591	1.2895764	0.78424833	9.95354453	7.85274608	5.69492438
GTEX-13CF3-2126-SM-5IFJP	9.57726163			0.33659369		8.18870338	9.23067587	10.38122995	7.57425779	11.84625262	4.0980826		-0.56803823	10.94794617	8.6119246	7.24300627
GTEX-13PL6-2926-SM-5L3I2	10.88873036		1.48448212	2.01748195	7.57876107	6.46896281	9.5998133	10.51099873	9.05463839	3.61214734	-1.59468121	4.17541302	0.34035928	7.60632284	8.34696835	7.75176417
GTEX-146FH-0826-SM-5SI8T	11.73890898		-0.31539906		5.67904263	7.6071315	10.99979035	8.90502639	7.9275878	8.09938945	4.74314848	0.98111288	0.03454161	9.08568822	8.58739934	9.38126298
GTEX-ZQG8-0726-SM-5P9H9	10.5751486	0.40480968			1.70471071	8.19822011	8.44747166	9.65212274	7.46269588	11.81912927	5.08399496		-1.49464292	9.63737976	8.21855981	7.00333842
GTEX-145ME-1526-SM-5Q5F2	10.17715645				0.74941019	8.19680134	9.61598146	7.86000032	7.65083383	11.74482854	5.56484098			9.04786864	8.72544824	6.42637571
GTEX-WI4N-1426-SM-3LK7H	11.80721425		2.65506019	1.12638694	10.21779152	8.05616698	11.83114564	11.06432954	8.25194875	6.30098731	-1.90348129	1.57408465	1.30278914	10.87166841	8.12248281	10.65215695
GTEX-UJHI-1426-SM-3DB9C	10.1498254		0.48669416	0.71481525	6.16511857	6.9511153	10.50084045	9.77275812	7.68982404	11.40019313	-0.0569147	2.3070328	-1.09598786	9.21281334	8.07794171	5.28584369
GTEX-1117F-2826-SM-5GZXL	9.71683313	0.54555947	-0.22850534	1.61398852	6.1203874	7.97093891	10.17060533	9.11742209	8.62130543	8.6082796	3.57420874	3.39440334	1.54190498	11.03542587	8.16178607	6.45387008
GTEX-13113-1726-SM-5GCOO	11.09822222	0.23051757	0.26000919	0.31000439	5.1700604	7.61327762	11.27967246	10.46530392	7.95307746	6.34011445	0.27924919	1.7164488	0.04371947	10.20507981	8.20515313	7.68299187
GTEX-12WSB-0626-SM-59HJO	11.79217685			0.23650971	-1.65922411	8.43002048	11.59511973	9.73946799	8.45749252	8.6082796	1.97858107	0.76704964	-0.93927301	9.78617749	8.61657698	7.82010434
GTEX-13QIC-2326-SM-5LU5N	11.79996276	0.24621935	-0.10674541	1.66089685	10.23390125	7.71018599	11.22586893	11.77799945	8.32710911	6.00937307	5.05297748	4.08416478	-0.17247007	9.4609814	8.6350664	8.76670412
GTEX-133LE-1726-SM-5K7VQ	9.45857316	0.04147672		1.15698179	7.38904648	6.82403254	9.47989887	10.02370678	7.93158374	8.84255069	3.73300231	4.46528988	0.48486956	8.54964518	8.49596696	7.05407903
TCGA-AC-A2BM-01A-11R-A21T-07	10.3384716	2.98446246	-0.3855181	0.68793604	-0.77833189	8.58697479	6.81412794	6.30621332	7.26120311	9.65092824	3.37338548	-1.0032125	0.79815751	7.73394063	7.95890103	8.26401233
TCGA-A8-A075-01A-11R-A084-07	8.76961503		1.38491773		1.44701179	7.7454857	6.86443039	6.06655154	8.60467495	9.23121695	3.40810854		-0.98537389	7.87540247	8.60746787	7.55964994
TCGA-A7-A3J1-01A-11R-A213-07	10.31171949	1.14566439	1.66387915		2.82025311	7.27424414	8.10100864	7.21176187	7.74963723	2.61324724	3.83810976		0.56351948	7.71639767	8.10585238	8.37551459
TCGA-A8-A08L-01A-11R-A00Z-07	8.86217515	1.72369584	2.61341256	2.94270833	4.05398677	8.4263606	7.56652877	4.49424328	7.50845816	2.97380383	3.84764493			7.46810298	8.37079211	8.56263485
TCGA-AN-A0FW-01A-11R-A034-07	9.43785743	-0.26058298	-0.18842042	-0.09294874	3.97339839	8.04862758	8.37164134	6.99963471	8.73521686	9.42086527	0.49917774		0.61427001	7.70053779	8.6133677	6.57018186
TCGA-E2-A15K-01A-11R-A12P-07	9.14088492	1.23969927	1.06852753	2.09128524		7.06285753	6.60828972	4.45431464	8.10552095	11.28471667	3.22472518		-0.22850534	6.91345194	8.89748312	7.95307746
TCGA-AC-A3OD-01A-11R-A21T-07	10.63102636	-1.11305374	3.01211225	0.69843771	6.92271879	8.89194238	8.94028144	9.02971375	9.20207541	2.4410299	4.86307267	4.13147421	3.84399599	9.76084757	8.45964954	9.57769404
TCGA-A7-A26I-01A-11R-A169-07	9.17696053	0.39207539	0.45807946	1.90276427	2.78945099	8.83309503	7.40684019	8.84023973	9.66299155	4.72948802	5.58032564			9.21952243	7.86906608	7.14976093
TCGA-AR-A1AU-01A-11R-A12P-07	10.17776658		-0.59899109		7.51864908	7.38188168	8.83067594	7.36518322	7.94272982	5.35294521	4.4388702	2.75371451	1.17798445	8.13116804	7.98385384	7.66229691
TCGA-E9-A228-01A-31R-A157-07	9.38465479	1.79356997	0.83738983	-0.16362402		7.1412426	7.83616249	7.48236777	8.30127066	7.7110115	3.33570278	2.42547294	0.093885	7.12256361	8.18906892	6.96315096
TCGA-E2-A1AZ-01A-11R-A12P-07	8.50163894		2.30976853		2.95198369	7.29946266	8.49983917	6.23103012	7.69709989	10.95639453	2.61341256		0.4317728	9.80815808	8.73420715	8.8354197
TCGA-D8-A1XF-01A-11R-A14D-07	7.27424414	-0.40773741			1.68624846	7.91081041	7.31997515	5.7434183	8.01749184	11.82653045	3.10836698	-0.93032169		6.33622814	8.37649128	6.44153337
