	MTUS1	CELA1	EPPIN	RP11-219B4.5	FABP7	C2orf69	TFPI	ID4	ZNF227	RPS17L	SULT1C2	GPR144	C17orf47	ACSL4	VIPAS39	GPR183
TCGA-D8-A4Z1-01A-21R-A266-07	10.07216882	-0.2650104	2.37467108	1.5556968	5.84857746	7.34132682	8.5937326	10.28317892	7.94986382	6.38773415	-1.13127738	2.63124439	-0.95505287	7.47707092	8.06959665	7.16931705
TCGA-BH-A0HX-01A-21R-A056-07	10.28254338		-1.54087885	1.88219713	2.22405507	7.86250071	8.45879172	6.46692616	7.83929187	6.83735838	4.17086381		0.51085689	8.1723722	8.11243796	7.43303291
TCGA-A8-A0A6-01A-12R-A056-07	10.5810201	1.42982949	-1.59586858		7.93035057	7.51499581	8.44382043	8.35349909	7.79171156	10.65616625	2.54564695	2.31700223		8.4709687	7.81590171	8.46470224
TCGA-OL-A5D7-01A-11R-A27Q-07	6.1203874		0.47400137	1.33776078	10.00353479	6.94671692	6.86265438	3.55360121	7.01556008	10.93062864	4.20643147			6.44153337	8.50905987	8.24877989
TCGA-A8-A083-01A-21R-A00Z-07	10.50439063	0.64168481	4.01789628	1.90430235		7.55564181	6.25732807	7.12932714	7.97671211	11.76667812	0.42804014		-0.28798587	5.30042678	8.44382043	4.83482936
TCGA-AO-A128-01A-11R-A10J-07	9.6668913	1.07199728	3.47815633		11.72855982	7.5428028	6.65834567	6.15139991	7.77517454	6.00029621	3.4530485			8.99130673	7.98194985	8.6681125
TCGA-AR-A1AX-01A-11R-A12P-07	9.99800852	0.288641			5.0101127	7.4595953	8.32745741	7.50036837	8.35874021	3.3674667	5.64189465	2.89710701	-1.16356398	8.83067594	7.79486658	9.03166485
TCGA-BH-A0HI-01A-11R-A084-07	10.33214158		2.20838482		-0.74171934	7.93577561	7.12365456	6.88023272	7.71066272	11.3285337	2.10385121			7.42795651	8.42244601	6.70166966
TCGA-E9-A1N4-01A-11R-A14M-07	10.40019372				3.13414883	7.61327762	9.22988723	6.96775314	8.33671699	9.88687332	5.52016184		1.06347824	10.56268503	8.39824177	9.21981076
TCGA-E2-A3DX-01A-21R-A213-07	11.05297822	0.0876236	0.11685441	1.28773668	7.03834608	7.82758889	9.88600657	7.87412655	7.73300504	2.90135728	2.60123545		1.18096632	8.28571668	7.98600452	9.31238421
TCGA-B6-A0WV-01A-11R-A109-07	9.46138846			0.90370093	1.22195776	8.06600926	6.39218283	6.05963528	8.21368358	11.83737968	2.92977412	-1.2894905	0.77084044	6.49200191	8.1132112	4.69740893
TCGA-A2-A0SW-01A-11R-A084-07	10.25063816	1.31109105	0.12619903	2.13094261	3.26405991	7.58640561	8.00110195	5.58569596	7.95307746	7.19372159	5.77764897		1.50149853	8.00609212	8.06789661	7.77061515
TCGA-BH-A0HB-01A-11R-A056-07	9.42007582				1.7548047	7.76373323	7.19105107	5.35493885	7.68617431	11.4160089	3.75718549			7.69871683	8.53757968	8.52206716
TCGA-D8-A1X7-01A-11R-A14M-07	10.53421574			-0.17484201		7.59589453	7.1422398	6.20427663	8.25587351	11.56767285	1.91043067		0.56884903	7.36142724	8.35874021	6.77344616
TCGA-A8-A099-01A-11R-A00Z-07	10.77320067		-1.55557074			7.68299187	6.20783955	4.68172916	8.12139527	11.74482854	0.94992088			6.50090119	7.89010564	6.05734063
TCGA-OL-A5D6-01A-21R-A27Q-07	10.88306275	0.63960598	1.9352158	1.70607423	7.47002701	7.21125045	8.2940934	7.04216875	7.7097349	7.64587345	11.22482706	-1.317402	0.15407388	7.32921125	8.21895077	6.97325057
TCGA-E9-A1NA-01A-11R-A144-07	9.74775878		-1.45600901	1.54329485		7.76722155	9.07987698	4.53244496	7.24716551	8.98473969	5.16322578		2.94541307	7.65267275	8.57215115	6.22864553
TCGA-A7-A26G-01A-21R-A169-07	9.04708828		3.385696	2.04067941	9.76476982	8.03866661	9.38988715	10.39296578	8.55598687	4.71603382	4.21096982		0.13157374	9.44916068	8.76357255	8.44347224
TCGA-E2-A1IG-01A-11R-A144-07	8.86405884			0.8068383	-0.91492109	7.33027577	7.79938368	6.73306042	8.22335209	10.29477638	1.06511309		0.25466713	7.85531406	8.59440319	6.77737589
TCGA-E2-A158-01A-11R-A12D-07	9.66982446			4.44535041	8.85042242	7.50622733	8.95248288	5.14937863	9.00348996	9.02430552	2.94945044	-1.01153641		6.3744678	7.78628417	5.77764897
TCGA-EW-A6SA-01A-21R-A32P-07	9.65763361				4.49424328	7.3382336	6.49070699	4.09557437	7.10848129	11.83132393	2.18747967		1.45316987	6.13240378	7.6677012	5.44349647
TCGA-EW-A1J1-01A-11R-A13Q-07	10.58895078	1.08144083			-0.58277164	8.15001606	5.94539608	5.07694813	8.18134585	10.49341271	3.12263387		-0.70717065	7.26940311	8.76961503	7.89339697
TCGA-A2-A0YD-01A-11R-A109-07	10.47462427				3.26758897	7.49949979	8.65401321	9.11228157	7.57876107	7.96930572	3.47550276		0.40829757	8.6493781	8.31751956	8.29252142
TCGA-A7-A4SC-01A-12R-A266-07	11.7631556				1.7893137	7.29893463	8.60056624	8.14012587	7.69792562	9.74794437	0.21168039	2.17334671	0.54173088	7.46481622	8.29655659	7.58677985
TCGA-BH-A0BC-01A-22R-A084-07	10.17985132		0.2157144	2.63368725	5.02663805	8.53345345	8.33184859	7.26380314	7.76215956	8.98473969	1.57979824		2.33499715	8.42960441	8.27642326	8.07876615
TCGA-BH-A1F0-01A-11R-A137-07	9.62147497	0.69488951	-0.28313447		9.40422681	8.36576431	10.43973966	9.68915349	7.82673831	0.8837473	5.34734192		0.05591269	9.75284518	8.70180976	10.64407403
TCGA-E9-A22D-01A-11R-A157-07	7.86250071	0.55457867			4.76449048	7.94046041	7.25522747	4.50524565	8.20700544	10.06906988	4.19854916			7.7608582	9.21006509	8.16630612
TCGA-A8-A084-01A-21R-A00Z-07	10.5790121	0.64880254	1.95979492	0.03215552	6.02889567	7.12206015	6.53365626	4.3095138	8.12854218	11.85184837	1.83648613		-1.19333699	6.96427762	8.29858627	4.46191161
TCGA-C8-A12U-01A-11R-A115-07	10.28254338			3.65220927	-0.91878145	7.92997654	6.43378752	3.47670285	8.12854218	11.85293752	4.11891485		-1.08763377	6.79784892	8.92853008	6.88440909
TCGA-AN-A0XT-01A-11R-A109-07	10.26862895				0.78800104	7.22548687	7.83975102	7.38388396	7.51262917	11.78418822	4.79375345	-0.91492109		7.16287937	7.34831502	6.02406877
TCGA-A7-A13D-01A-13R-A12P-07	9.07650895			2.67255246	4.19057618	8.06177597	8.68569979	6.08144339	8.17517629	10.21146105	1.25233731			8.54490754	7.96858404	5.80397345
TCGA-D8-A1JI-01A-11R-A13Q-07	9.21750385		2.38988394	0.82198569	-1.02469361	7.99607779	5.92740204	4.11183626	8.05858031	11.85662839	0.13157374		0.27924919	6.18407102	8.44872886	6.99021847
TCGA-E2-A1IE-01A-11R-A13Q-07	9.57888923	-0.21253436		1.94964723	3.442076	8.06485346	7.37451148	7.91046174	8.22700541	9.48257415	2.80156093		1.09357055	6.25665825	7.81064579	5.44897186
TCGA-A2-A1FX-01A-11R-A13Q-07	9.59269157				-0.11524803	7.49816311	7.88029989	6.77479592	7.93750996	10.95062139	1.8437348		0.70043947	7.65611074	8.45537831	7.93335263
TCGA-AO-A0J6-01A-11R-A034-07	8.27975398		-1.25227016	2.92727266	6.04371892	8.00304871	8.47161413	6.97381379	8.32158037	10.64582028	0.97781486		-0.50530142	7.92101396	7.91694094	7.22548687
TCGA-AC-A4ZE-01A-11R-A41B-07	10.04970057	-0.51813123	-1.40781493		0.36572176	7.69221536	7.50412449	6.57146582	7.69709989	7.96008503	-0.28553873	0.34760786	2.41194408	6.77737589	7.99722547	6.70452521
TCGA-A8-A07C-01A-11R-A034-07	9.39598422	0.43889662		2.02907133	11.79252042	8.71148595	8.26901515	11.38650271	8.78529887	8.99220825	3.38822348		1.17798445	8.66920722	8.54338764	8.7879552
TCGA-AN-A0XV-01A-11R-A109-07	9.90396786	0.24621935		0.31000439	3.50971253	8.54930551	9.41700599	7.21868327	8.05533403	8.99980256	4.76006523		1.21742737	7.73214568	8.12567872	7.84824706
TCGA-A2-A0EQ-01A-11R-A034-07	8.32710911	0.69657608		3.81583436		7.66924965	7.39447295	4.25737975	8.0399584	10.51099873	5.48140844		1.90001942	8.03412657	8.14571693	9.07130858
TCGA-B6-A402-01A-11R-A239-07	8.29984379		2.5233899		5.80311786	8.4095369	6.77126666	10.53609675	7.11203037	10.48518277	3.89391125	-1.0919355	1.0195407	7.0388846	8.31406236	6.55542021
TCGA-A7-A0DA-01A-31R-A115-07	9.45071255			2.32970316	7.85042417	7.48501511	7.16235049	9.1401894	8.00225836	4.75540657	1.36777903		1.65935271	8.39204964	8.2377611	6.99963471
TCGA-E9-A245-01A-22R-A16F-07	11.12905658		5.37558869	0.99495281	5.44437423	8.27866619	7.67915463	7.07160324	8.81880339	0.01272647	3.73188292	1.44074743	1.15029304	7.23427656	9.24966581	6.78104943
TCGA-AC-A6NO-01A-12R-A33J-07	10.30830454	-0.56803823	2.12928305	2.02196394	4.69860995	7.58553758	7.22677424	6.72953788	7.78390232	4.64430713	2.92072684	-1.180407	2.8589018	6.63574675	8.55561344	5.98330859
TCGA-D8-A1XA-01A-11R-A14D-07	11.09433395		2.29603097	0.93346037	-0.84747841	7.30435396	5.62952719	5.56859632	7.87365053	10.71672302	4.73894147		0.39698112	7.23860701	8.09788104	6.06046938
TCGA-Z7-A8R6-01A-11R-A41B-07	9.11564081	0.70043947	-0.33935425	2.59408344	2.05366602	7.36518322	7.00333842	6.11800876	7.52639653	9.48257415	4.81563986	1.23822902	0.47552145	6.74851017	9.07029048	7.391704
TCGA-BH-A0BQ-01A-21R-A115-07	10.6748548		0.23264318	-0.12905776	4.23811831	7.12826925	8.53757968	7.28235046	7.81590171	9.78005047	2.33663618	-0.42602961	-0.01553487	7.82550498	8.30962006	8.2054843
TCGA-GM-A2DL-01A-11R-A18M-07	9.92410724	-0.39767899				7.83893485	7.6931172	6.69145825	8.03450916	11.4160089	0.56500147			8.02603398	8.22591797	8.26901515
TCGA-EW-A3E8-01B-11R-A24H-07	9.55205482			3.07012659	4.24282774	7.30435396	7.89780991	7.47241271	7.88615063	4.81505891	2.68061908		0.84417877	7.82431398	8.57404444	8.8978734
TCGA-EW-A424-01A-11R-A24H-07	8.96506451		1.41310007		4.91973504	7.10785026	7.77229908	8.38972309	7.50569094	7.16965751	4.08294621	3.88896394	0.89690184	6.84527119	7.88361634	6.75599046
TCGA-A2-A0CZ-01A-11R-A034-07	9.67941272	-0.49745862		0.45590673	6.05258705	7.11351466	8.78041085	9.20642628	8.36685995	6.34011445	1.70607423	0.88230015	0.55796193	8.5937326	8.73195797	8.39752807
TCGA-BH-A0B2-01A-11R-A10J-07	9.83262162	-0.74171934	1.21576755	0.85576135	3.78707671	7.26883201	8.16769084	7.52970846	8.06565244	4.67991221	2.14653236			8.1828247	8.45421477	8.70421165
TCGA-AN-A0AK-01A-21R-A00Z-07	8.91206919	0.72922466				8.15721383	7.31880813	4.37327151	8.01354735	11.66504448	2.4367712			6.49668838	8.31258439	5.57398298
TCGA-B6-A408-01A-12R-A24H-07	8.51757617	-0.45529008	0.16703664	1.64097679	1.33776078	7.54659113	7.11639801	5.53104606	7.41412287	4.96035792	4.95508563		1.55257864	7.47847639	8.72438727	8.21062513
TCGA-EW-A1PH-01A-11R-A14M-07	9.53347778		1.61986477	5.95092261	3.86066567	8.30240883	7.23708993	8.95923629	7.67022005	2.46484006	4.34759423	-1.29586865	0.70409041	7.46995136	8.0682538	7.99936787
TCGA-A1-A0SG-01A-11R-A144-07	9.19161722			0.76359256		7.22869994	7.87072457	9.29939971	6.84579207	9.15065393	0.04147672	-1.15099786	0.58320567	7.49207392	8.05656629	7.7273471
TCGA-D8-A1JL-01A-11R-A13Q-07	9.05991515			2.59279787	4.73060128	7.97913534	7.2780038	8.39966013	8.41781732	3.22993271	3.41309097		1.02916876	9.38557064	8.70834537	8.79970989
TCGA-AO-A129-01A-21R-A10J-07	8.55664049	-0.53734226		1.81588788	11.60959436	7.14374039	8.50984112	7.39583583	7.10900159	3.25398	1.0618807		-1.10883984	7.41109017	8.20443924	8.05244395
TCGA-BH-A0BP-01A-11R-A115-07	9.81442231		3.42959604	1.09656844	4.64965011	7.44548448	8.3337433	8.04784589	7.10398541	9.23214769	3.15344171		-0.72204484	8.58511518	8.28748367	6.98517411
TCGA-BH-A202-01A-11R-A14M-07	8.38381265	-1.19735365		0.51445041	6.19745918	7.99575468	7.59067729	7.20974164	8.36801523	7.50390371	5.86776759		0.13581595	9.29353895	7.80408792	7.20505998
TCGA-A2-A25A-01A-12R-A16F-07	11.24818739		-1.36212598	2.10814968	7.78594393	7.71918794	10.22529145	10.21471527	8.31593971	1.15188371	2.10955624	2.44635481	1.24562913	8.62797821	8.52008934	8.82609339
TCGA-AR-A24U-01A-11R-A169-07	10.53930803				4.50751535	8.09718406	9.08963289	6.50541296	7.59881418	4.72948802	3.80596899	-0.87027563		9.45349403	8.12527938	10.23773171
TCGA-C8-A278-01A-11R-A169-07	9.65720129	1.64876143	3.64965992	-0.15062498	6.65673303	8.20274839	8.20661451	5.98656104	8.07435548	8.45884042	6.22418035			8.62910727	8.03412657	8.03498525
TCGA-E2-A1LI-01A-12R-A157-07	7.01556008	-0.28553873		0.42597853	11.81912927	7.8574235	7.38388396	9.34269442	7.86131845	5.26546121	1.83803802		0.60315186	8.13038631	8.20782971	10.13911338
TCGA-AC-A3W7-01A-11R-A22K-07	10.31735474	0.45199305	0.49576866	2.15076644	4.17202432	7.27139696	7.53255306	8.35484983	8.07435548	2.46097883	2.78667654	0.65248077	0.63448073	6.94385539	8.49634069	6.49277326
TCGA-BH-A18M-01A-11R-A12D-07	10.77320067		0.44273046	0.4719446	4.55869745	7.43718869	8.43072533	8.00149302	8.21400649	5.17556337	3.49867197	3.3065664	0.24829499	8.22367497	8.7628174	8.01699889
TCGA-AR-A256-01A-11R-A169-07	10.76533006		-0.1813452	4.05757232	10.98725328	8.62691712	8.17833778	8.30347071	8.71830201	8.39061166	3.69074873		0.1240234	8.57884952	8.17284791	8.93221239
TCGA-C8-A1HN-01A-11R-A137-07	9.07620351		-0.1421063			8.47224265	6.97051879	5.98746374	7.9435801	10.90750873	3.77153952		0.14268125	7.13896491	8.19386988	7.23316829
TCGA-E9-A1NE-01A-21R-A14M-07	10.35449539	1.50466651		0.1906025	6.10798999	8.20443924	9.26996984	8.19211103	8.17951864	2.42733004	4.25406157	2.74148665		8.83309503	8.21543384	10.22585922
TCGA-A8-A0AB-01A-11R-A034-07	10.71575938		1.74792639	1.54190498	2.51820045	7.46995136	6.87103265	5.46840999	8.22864546	9.76476982	3.83586311		1.39587904	6.93163203	8.03661763	4.97013801
TCGA-C8-A12V-01A-11R-A115-07	10.65922309	1.05333874		3.52698885	11.5363821	7.29837277	8.42130776	7.47707092	8.4752485	9.63723718	5.48439659	0.1008031		8.74374706	8.38164646	8.86062225
TCGA-AO-A12H-01A-11R-A115-07	9.89299103	-0.30489775				8.01619114	6.84243554	6.95972735	7.70092954	11.84968429	0.35320287			6.31834559	8.50402478	6.65137393
TCGA-C8-A12W-01A-11R-A115-07	9.44401354		1.06677283		2.69137683	7.03772299	7.25250937	5.22970397	7.79211976	11.85763784	3.23106657		0.39361004	8.20822025	8.18171116	6.3191008
TCGA-A8-A0A7-01A-11R-A00Z-07	9.18718955	1.2046194	-1.38941013		4.11431245	8.46196776	8.1229163	9.31832904	8.47934105	7.32867419	5.12640705			8.96897616	8.31476765	9.43715373
TCGA-C8-A12P-01A-11R-A115-07	9.5123992	-0.38334659			7.90919478	7.49540376	11.00153396	8.5581518	7.18107586	11.35973768	4.86206499		0.41427599	7.7689225	8.515768	5.82310303
TCGA-AR-A2LM-01A-11R-A180-07	10.02269819	0.95151618	0.05591269	2.92844701	4.1486911	7.34882608	8.20629176	8.54490754	8.2940934	3.74273894	3.41561233	0.61228689	-0.2351433	8.52869891	8.5269917	8.14170616
TCGA-A2-A4S3-01A-21R-A266-07	8.98694614	0.83418795		1.45149325	2.29461043	8.87744911	10.32981131	5.00685474	8.16491275	10.96717104	5.23952236	-1.4130766	1.39916459	6.92327314	7.82850765	7.70454483
TCGA-AC-A6IW-01A-12R-A33J-07	7.95927518	1.18096632		3.61554091	6.24702874	7.36968958	6.76819904	10.82604852	8.83013303	7.42545516	2.75371451	-0.82857796		8.35082423	8.65552418	9.04708828
TCGA-LL-A7T0-01A-31R-A352-07	8.409121			1.87619423	3.19930409	7.47707092	7.04101681	5.24042912	7.59427738	9.15065393	4.91675557			6.75847845	8.57029199	6.84299066
TCGA-A7-A4SA-01A-11R-A266-07	9.85529658		-1.03776572	0.82919967	2.18440261	7.36518322	7.74963723	7.24300627	6.97666427	8.88171209	2.77741878	0.48076386	0.68619439	7.4288509	7.69709989	8.76882568
TCGA-EW-A1OW-01A-21R-A144-07	7.04690319		-0.09294874	1.64551123	11.5363821	7.59589453	7.87912633	10.53806248	7.99481974	10.39287567	-1.44336911		-0.3774364	8.97199664	8.07586807	7.48323562
TCGA-AC-A6IX-01A-12R-A32P-07	9.91239335	5.33793742	-0.59899109		0.15188717	7.68982404	8.79553441	8.16595776	8.15389951	2.04016063	2.43548744	-1.19333699	-1.17199417	7.79318288	8.73310391	7.85697265
TCGA-E2-A14Y-01A-21R-A12D-07	9.04675738			4.80123258		7.64237532	7.90289408	9.06917934	7.51807894	11.74290624	0.13359198	-1.15099786		7.45489384	8.11583692	7.01666017
TCGA-A8-A092-01A-11R-A00Z-07	9.57522668	-0.27902212				8.1022407	6.63081791	5.2132207	8.19755745	10.1228621	4.08066983		2.17334671	7.24610843	8.75759783	6.12418646
TCGA-AO-A12G-01A-11R-A10J-07	8.8913398	-0.39543502	2.62710154		3.49375221	7.78251624	8.32857874	7.44347462	7.62369524	11.31428092	3.64350435	-1.04152303	0.41237198	7.47189307	8.44347224	6.42637571
TCGA-A2-A25F-01A-11R-A169-07	8.56069894	-1.24562743				8.07771212	9.22681685	7.87912633	8.59582959	4.96035792	7.50459277			10.25516338	8.68415513	11.02888611
TCGA-A2-A0D4-01A-11R-A00Z-07	9.3095769			-0.11317889	3.46170905	7.99689404	7.95890103	6.25380041	8.02391743	11.37088157	2.81089593		0.08220419	6.46083708	7.71792901	5.86363141
TCGA-A2-A0T5-01A-21R-A084-07	10.82358327		-0.52142718		3.19140819	7.18107586	7.64673223	7.72451343	8.00527582	8.99980256	2.13354734	-0.22850534	1.15698179	7.82174592	8.50055219	6.5482344
TCGA-E9-A1RA-01A-11R-A14D-07	9.97042865		0.29839113	-0.16806182	-1.97783142	7.17346961	7.29439256	7.09168646	8.33048953	9.22411247	2.53878797	-1.38256034	0.02787281	7.20257069	8.65787562	6.8232804
TCGA-B6-A0I8-01A-11R-A034-07	10.55619496		-0.28553873	1.71334864	2.06512696	7.59929946	7.48371225	5.45822908	7.21367048	10.97137008	6.38726415		0.09828912	7.01714718	7.33027577	5.2132207
TCGA-AR-A1AN-01A-11R-A12P-07	9.34954642			0.69488951	-0.77833189	6.87615021	7.91007909	6.20275586	8.70762387	10.29477638	1.6380639			8.30268913	8.36835505	7.77144059
TCGA-A2-A04Q-01A-21R-A034-07	9.49093059	-0.39108462			11.80039581	7.32876813	7.6679905	8.04742084	8.40039909	9.0397155	5.33017468	-0.13833281	-0.83597914	8.81811606	8.71932876	9.33783508
TCGA-BH-A0BT-01A-11R-A12P-07	9.0168438			0.18624228	4.90322546	7.17346961	7.07495745	9.0331153	7.60801718	10.06906988	3.61695748	-1.11305374	2.12790625	7.00600193	9.49617037	7.28436207
TCGA-D8-A3Z5-01A-41R-A24H-07	10.10922201		2.4588468		4.66168342	6.47359726	7.64903895	8.94445603	7.82130349	9.02241863	4.24517927	5.08876831	1.06677283	6.96080264	8.05901343	5.59461308
TCGA-AO-A12F-01A-11R-A115-07	10.02170652			1.36312312	5.98410835	8.34696835	9.10520705	8.84681596	7.8075161	10.23567055	-1.19333699		1.01324665	9.41192667	8.49871834	7.70510632
TCGA-B6-A0IH-01A-11R-A115-07	11.01878845				4.19169383	7.0926671	9.39052322	8.6151931	7.84743078	8.07832287	4.16498418	-0.64090235		8.05971913	8.4671224	7.06446044
TCGA-BH-A0BA-01A-11R-A056-07	11.24700997		2.02466026	1.31556002	10.30946539	7.29047168	9.04379653	8.28235328	8.07794171	5.73591315	5.31681884	1.32870631	0.45199305	7.79689144	8.58362967	7.8494887
TCGA-E9-A1RD-01A-11R-A157-07	10.75640889	-0.16362402	-0.1813452	0.51835154	2.72973227	7.85697265	7.50516318	7.92141369	8.68263568	9.48537616	1.49706331		0.15407388	7.13361866	8.53142429	5.94366682
TCGA-LL-A441-01A-11R-A24H-07	8.68569979	1.23488386	-1.42652074	2.87608773	6.34039484	7.30435396	7.99852601	11.59420073	7.89099849	0.35070067	3.13680095	1.29116034	-1.11305374	8.31823318	8.34136294	8.95214336
TCGA-E2-A14U-01A-11R-A22K-07	9.77108813		1.9383054		8.11285456	7.25307163	7.20353422	9.25718041	7.89515675	4.65451018	2.40650334	4.62073719	1.78338613	7.32743928	8.41371544	6.87271634
TCGA-A7-A5ZX-01A-12R-A29R-07	10.36442658	-0.26058298	0.46619858	2.02196394	6.45628648	7.00940741	8.3428918	9.09876048	8.0846222	7.61470553	3.07768047	3.88316982	2.02776202	8.02838869	8.37719638	6.39638146
TCGA-E9-A22A-01A-11R-A157-07	9.19642641				1.75357093	8.3428918	10.06220167	7.59343517	7.06988766	9.25022489	2.29603097		2.26643672	8.85627794	8.44747166	7.72819794
TCGA-AR-A0TQ-01A-11R-A084-07	10.64598034	2.23688546	-1.3751246		2.86946042	8.00344833	9.81586335	5.87459854	8.10023519	8.99220825	4.77721245		0.63072952	7.65968433	8.60664464	8.95883757
TCGA-BH-A0EI-01A-11R-A115-07	9.50367439	-0.57928701			6.41227099	7.7480211	7.13484692	6.33057546	8.11053431	11.04944451	1.21742737		1.09506409	7.54567194	8.42167287	5.49729203
TCGA-E2-A1BD-01A-11R-A12P-07	10.86029924		1.76826297		5.36238814	6.96718107	7.75090479	7.47557144	8.0026748	7.51136323	-0.21253436		0.45199305	6.62902925	7.59929946	5.85612484
TCGA-A7-A5ZW-01A-12R-A29R-07	9.93443966		1.920487	2.22405507	5.45822908	7.82010434	8.14012587	8.53502432	7.93791801	10.22781244	3.23106657	-0.53734226	0.24062245	8.38277629	8.20629176	7.85122368
TCGA-D8-A1X8-01A-11R-A14M-07	10.22585922	2.64459386	1.12786963	0.23449675	3.99312515	7.85697265	8.80018503	9.44800743	8.26340069	8.27286557	1.69396933	-0.08591	-0.96858624	7.77987845	8.48367955	8.14053355
TCGA-A8-A07S-01A-11R-A034-07	9.66861225				2.18604845	7.72318606	6.7632486	5.14550437	7.89010564	11.80941994	4.22323797		-0.82414179	6.6326153	8.09440451	5.88691047
TCGA-E2-A1L7-01A-11R-A144-07	8.7784927	0.73644784	-0.23304339	2.03634578	1.88219713	8.0114391	7.24811999	7.087874	8.84093537	6.86621476	6.35176442			7.8426506	7.91694094	7.75703877
TCGA-OL-A5RX-01A-11R-A28M-07	10.16122394			0.18405922	6.44509689	7.04850694	9.29033333	8.87276538	7.87199176	3.30263306	3.60738103	4.92823148	1.65627574	7.5560843	8.36403208	7.81284856
TCGA-AR-A2LO-01A-31R-A18M-07	9.51624025	-0.39543502	-0.36680245	0.08220419	5.93153412	7.32921125	10.76089918	8.84847922	8.09255137	5.4534859	0.1008031	0.76024845	0.15407388	7.83204594	8.28344852	8.71901483
TCGA-C8-A26Y-01A-11R-A16F-07	6.41293291			3.73068591	0.18943101	8.25389381	7.89553094	6.21967543	7.09816912	0.9186836	4.62412377	-0.11798338	0.41823542	6.7863819	8.72953062	7.38669569
TCGA-A8-A07Z-01A-11R-A00Z-07	8.89834851				1.82017498	7.47241271	6.82011037	4.64965011	7.29675325	11.84086435	2.85074955			6.29251984	7.99651142	6.47842884
TCGA-A8-A08S-01A-11R-A034-07	9.63455656	1.05143048	-1.45235835		2.9987195	7.4049066	6.77299334	5.11566306	7.73905379	9.92572747	7.19633855		-0.79750023	7.07377054	8.95674223	5.47778751
TCGA-A8-A0AD-01A-11R-A056-07	10.3649096	-0.10443673		1.80700884		8.05405066	6.57275795	9.4435726	7.97143205	11.85312705	0.05377128		1.46722467	8.31593971	8.19822011	8.30733554
TCGA-A8-A09T-01A-11R-A00Z-07	8.30511839				2.74833722	6.42977748	5.05084021	4.46299411	7.6210225	11.18698846	1.59541547			6.90639753	8.17195557	6.91345194
TCGA-BH-A0DS-01A-11R-A056-07	10.72296066	1.65316593			0.4622185	7.53766063	8.12448057	6.28300633	7.6992271	10.76141114	4.33873944		0.11918645	7.71353849	8.38736171	7.87711122
TCGA-E9-A1R7-01A-11R-A14M-07	9.45619052		-0.36274351		1.24109824	8.17169213	7.30181454	5.55768207	8.0337696	11.40535604	0.83738983		0.01584527	6.87380977	7.9234211	5.61331608
TCGA-E9-A1RC-01A-11R-A157-07	11.74386877	0.5271117	-1.16800515			7.41834803	6.10865945	4.49860119	8.0026748	5.51555152	7.32198557		1.69549762	6.87615021	8.89491197	5.60694098
TCGA-A2-A259-01A-11R-A16F-07	9.92075915	-0.49982608		-0.33328116	5.17302918	8.10100864	8.16218522	7.70011218	8.06634916	3.86712461	5.17392359	3.43060589	1.47676605	9.73657727	8.0818348	8.67066732
TCGA-BH-A0HW-01A-11R-A034-07	9.77664932	-0.15273429				7.6227503	6.7991305	11.26446535	8.45674513	11.57349165	2.89990469		2.27211783	5.97046759	8.66461564	4.04487494
TCGA-A2-A3Y0-01A-11R-A239-07	8.28460368	-0.35286919		1.27031972	6.45085813	7.64811963	7.7022141	6.80527631	7.51125816	3.5787269	2.89312031		-0.83980333	6.79854948	8.2495532	7.16592341
TCGA-B6-A3ZX-01A-11R-A239-07	8.62438715	1.02127618	-0.49982608	1.22818874	10.00834887	6.98008749	8.88909126	9.30743963	7.90289408	1.95402225	3.20550516			8.43232196	8.29858627	9.55344521
TCGA-AC-A3W6-01A-12R-A22K-07	9.38239069	-0.58893707		1.42045482	0.15188717	7.04464233	8.25798028	8.40487493	7.50316236	8.7400216	2.19029705		0.75853878	7.60591416	8.39243172	7.04416487
TCGA-E2-A1IO-01A-11R-A144-07	9.83396942		0.26574149		4.13383615	7.307285	8.42790624	7.89423877	7.95927518	5.84916333	3.69307816	2.6524898	0.40480968	8.20515313	8.91469933	7.41260633
TCGA-B6-A0IC-01A-11R-A034-07	10.59567819	-0.17705252	-1.26171578	3.22892627	-1.91431708	7.72948256	4.96908916	6.8885672	7.64903895	11.84872758	1.75638756		2.36339783	5.22210308	8.4471575	5.87960138
TCGA-A8-A06X-01A-21R-A00Z-07	8.14053355					8.29435691	6.39422099	4.59272299	7.946318	11.76767157	4.05866589		-0.06695915	7.06243064	7.55511376	5.9696586
TCGA-A7-A6VV-01A-22R-A33J-07	9.62990232		0.98111288	2.68333146	8.10941252	7.64862179	7.39447295	8.98549535	8.17361255	6.26308838	4.26087769		0.8068383	8.05971913	9.14770487	7.48884679
TCGA-S3-AA14-01A-11R-A41B-07	9.43850192	-0.25049558			3.54263506	6.98461036	7.8271125	7.1786123	7.84577174	7.61470553	3.3165853	1.07199728	1.74942772	7.51218627	8.06672308	6.34120957
TCGA-A2-A0EW-01A-21R-A115-07	10.39854155		1.62287629	0.00892532	6.40317741	7.72318606	9.77326673	8.88678315	8.24640924	3.05471764	3.67042282	0.82198569	-1.20517647	8.51599718	8.49756346	9.05314535
TCGA-C8-A3M8-01A-11R-A213-07	9.32713164	0.24062245			-2.03690017	8.00571794	7.64366002	6.61075305	8.15389951	8.31034134	4.20297986		0.00423129	7.13484692	8.34094684	6.27264891
